"county","PUMA10=100","PUMA10=200","PUMA10=300","PUMA10=400","PUMA10=500","PUMA10=600","PUMA10=700","PUMA10=800","PUMA10=900","PUMA10=1000","PUMA00=100","PUMA00=200","PUMA00=300","PUMA00=400","PUMA00=500","PUMA00=600","PUMA00=700","PUMA00=800","PUMA00=900","PUMA00=1000","PUMA00=1100","AGEP=0-4","AGEP=5-9","AGEP=10-14","AGEP=15-19","AGEP=20-24","AGEP=25-34","AGEP=35-44","AGEP=45-54","AGEP=55-59","AGEP=60-64","AGEP=65-74","AGEP=75-84","AGEP=85-99","RAC1P=1","RAC1P=2","RAC1P=3-5","RAC1P=6","RAC1P=7","RAC1P=8","RAC1P=9"
"Belknap County",0,23410,0,0,0,0,0,0,0,0,0,34619,0,2166,0,0,0,0,0,0,0,"3001","3304","3599","3883","2874","6222","7164","9962","4853","4884","5915","3189","1366","58011","449","146","721","0","138","751"
"Carroll County",0,16374,2342,0,0,0,0,0,0,0,0,24353,2859,1515,0,0,0,0,0,212,250,"1891","2222","2699","2648","2035","3966","5324","8107","3842","4579","5894","3115","1372","46503","122","170","235","0","17","647"
"Cheshire County",0,0,0,0,30760,0,0,0,0,0,0,0,0,0,45597,0,0,0,0,0,0,"3710","3950","4383","6825","6211","8129","8852","11934","5741","5320","6510","3594","1737","73839","504","192","922","20","353","1066"
"Coos County",13623,0,0,0,0,0,0,0,0,0,19103,0,0,0,0,0,0,0,0,0,0,"1328","1436","1898","1879","1511","3150","3965","5448","2840","2548","3450","2073","994","31472","213","145","95","0","148","447"
"Grafton County",36727,0,0,0,0,0,0,0,0,0,51503,0,0,0,0,0,0,0,0,0,0,"4046","3914","5115","7110","8353","9875","9801","13442","6941","6152","7922","4677","1818","83322","649","347","2651","0","317","1880"
"Hillsborough County",0,0,0,0,0,42810,20755,42553,51648,0,0,0,0,2837,0,66936,21529,67438,73929,12619,0,"23309","26243","25549","27653","24302","49823","55946","67849","27836","23531","27502","15630","6844","365621","8796","638","13649","101","5412","7800"
"Merrimack County",0,8053,0,45072,0,0,5271,0,0,0,0,11909,0,69383,0,752,5468,0,0,1230,0,"7370","8164","9585","10444","9097","16269","19169","24648","11841","9280","11321","6295","3227","139973","1637","182","2257","31","402","2228"
"Rockingham County",0,0,7945,0,0,0,33424,0,0,77130,0,472,9699,4569,0,4766,42999,0,0,48468,67386,"14585","18255","19668","19922","15629","30332","41137","54782","23095","19502","22959","12018","4834","283694","2415","490","5322","39","1118","3640"
"Strafford County",0,0,49812,0,0,0,0,0,0,0,0,2956,60806,0,0,0,0,0,0,4500,5321,"6672","6865","7134","10803","12988","14767","15599","18833","8796","5994","8414","4981","1990","116104","1068","191","3201","0","637","2635"
"Sullivan County",0,0,0,0,17448,0,0,0,0,0,0,0,0,0,25864,0,0,0,0,0,0,"2204","2161","2836","2591","2126","4489","5501","7195","3598","3256","4188","2410","843","41865","158","87","284","23","246","735"
